player,season,chance_of_playing_this_round,date,element
Willy Caballero,2019-20,100.0,11/08/2019,112
Will Hughes,2019-20,100.0,10/08/2019,370
Will Norris,2019-20,,11/08/2019,413
Winston Reid,2019-20,100.0,10/08/2019,383
Xherdan Shaqiri,2019-20,100.0,09/08/2019,194
Yan Valery,2019-20,100.0,10/08/2019,306
Yerry Mina,2019-20,100.0,10/08/2019,142
Yoshinori Muto,2019-20,100.0,11/08/2019,260
Youri Tielemans,2019-20,100.0,11/08/2019,448
Yves Bissouma,2019-20,,10/08/2019,53
Çaglar Söyüncü,2019-20,100.0,11/08/2019,164
Ørjan Nyland,2019-20,100.0,10/08/2019,27
Aaron Cresswell,2019-20,100.0,17/08/2019,376
Aaron Lennon,2019-20,100.0,17/08/2019,430
Aaron Mooy,2019-20,100.0,17/08/2019,516
Aaron Ramsdale,2019-20,100.0,17/08/2019,494
Aaron Wan-Bissaka,2019-20,100.0,19/08/2019,122
Abdoulaye Doucouré,2019-20,100.0,17/08/2019,368
Adama Traoré,2019-20,100.0,19/08/2019,417
Adam Lallana,2019-20,100.0,17/08/2019,195
Adam Masina,2019-20,100.0,17/08/2019,355
Adam Smith,2019-20,100.0,17/08/2019,63
Adam Webster,2019-20,100.0,17/08/2019,493
Ademola Lookman,2019-20,,17/08/2019,155
Adrian Mariappa,2019-20,100.0,17/08/2019,356
Adrián San Miguel del Castillo,2019-20,100.0,17/08/2019,526
Ahmed El Mohamady,2019-20,100.0,17/08/2019,22
Ainsley Maitland-Niles,2019-20,100.0,17/08/2019,4
Albian Ajeti,2019-20,100.0,17/08/2019,514
Alexander Tettey,2019-20,,17/08/2019,289
Alexandre Nascimento Costa Silva,2019-20,100.0,17/08/2019,387
Alexandre Lacazette,2019-20,100.0,17/08/2019,12
Alexis Sánchez,2019-20,75.0,19/08/2019,240
Alex Iwobi,2019-20,100.0,17/08/2019,17
Alex McCarthy,2019-20,100.0,17/08/2019,318
Alex Oxlade-Chamberlain,2019-20,100.0,17/08/2019,193
Alireza Jahanbakhsh,2019-20,100.0,17/08/2019,50
Alisson Ramses Becker,2019-20,75.0,17/08/2019,189
Allan Saint-Maximin,2019-20,100.0,17/08/2019,500
Andreas Christensen,2019-20,100.0,18/08/2019,108
Andreas Pereira,2019-20,100.0,19/08/2019,246
Andrew Robertson,2019-20,100.0,17/08/2019,181
Andrew Surman,2019-20,100.0,17/08/2019,80
Andre Gray,2019-20,100.0,17/08/2019,364
Andre Green,2019-20,,17/08/2019,32
Andriy Yarmolenko,2019-20,100.0,17/08/2019,392
Andros Townsend,2019-20,100.0,18/08/2019,135
André Filipe Tavares Gomes,2019-20,75.0,17/08/2019,422
Andy Carroll,2019-20,,17/08/2019,520
Andy King,2019-20,100.0,18/08/2019,480
Andy Lonergan,2019-20,,17/08/2019,530
Angelo Ogbonna,2019-20,100.0,17/08/2019,377
Angel Gomes,2019-20,100.0,19/08/2019,245
Angus Gunn,2019-20,100.0,17/08/2019,319
Anthony Knockaert,2019-20,,17/08/2019,52
Anthony Martial,2019-20,100.0,19/08/2019,239
Antonio Rüdiger,2019-20,50.0,18/08/2019,104
Anwar El Ghazi,2019-20,100.0,17/08/2019,30
Arnaut Danjuma Groeneveld,2019-20,100.0,17/08/2019,492
Arthur Masuaku,2019-20,100.0,17/08/2019,378
Artur Boruc,2019-20,100.0,17/08/2019,73
Ashley Barnes,2019-20,100.0,17/08/2019,90
Ashley Westwood,2019-20,100.0,17/08/2019,101
Ashley Young,2019-20,100.0,19/08/2019,224
Asmir Begovic,2019-20,100.0,17/08/2019,72
Axel Tuanzebe,2019-20,100.0,19/08/2019,481
Aymeric Laporte,2019-20,100.0,17/08/2019,202
Ayoze Pérez,2019-20,100.0,18/08/2019,265
Bailey Peacock-Farrell,2019-20,100.0,17/08/2019,495
Bamidele Alli,2019-20,,17/08/2019,344
Benjamin Chilwell,2019-20,100.0,18/08/2019,161
Benjamin Mendy,2019-20,25.0,17/08/2019,204
Ben Davies,2019-20,25.0,17/08/2019,329
Ben Foster,2019-20,100.0,17/08/2019,366
Ben Gibson,2019-20,100.0,17/08/2019,89
Ben Godfrey,2019-20,100.0,17/08/2019,273
Ben Johnson,2019-20,100.0,17/08/2019,384
Ben Mee,2019-20,100.0,17/08/2019,83
Ben Osborn,2019-20,100.0,18/08/2019,472
Beram Kayal,2019-20,,17/08/2019,56
Bernardo Mota Veiga de Carvalho e Silva,2019-20,100.0,17/08/2019,218
Bernardo Fernandes da Silva Junior,2019-20,100.0,17/08/2019,39
Bernard Anício Caldeira Duarte,2019-20,100.0,17/08/2019,152
Bernd Leno,2019-20,100.0,17/08/2019,14
Billy Sharp,2019-20,100.0,18/08/2019,298
Birkir Bjarnason,2019-20,,17/08/2019,33
Bjorn Engels,2019-20,100.0,17/08/2019,455
Callum Hudson-Odoi,2019-20,,18/08/2019,116
Callum Robinson,2019-20,100.0,18/08/2019,453
Callum Slattery,2019-20,100.0,17/08/2019,327
Callum Wilson,2019-20,100.0,17/08/2019,67
Calum Chambers,2019-20,100.0,17/08/2019,467
Caoimhin Kelleher,2019-20,,17/08/2019,531
Carlos Sánchez,2019-20,100.0,17/08/2019,397
Carl Jenkinson,2019-20,,17/08/2019,9
Cenk Tosun,2019-20,100.0,17/08/2019,146
Charlie Austin,2019-20,,17/08/2019,312
Charlie Daniels,2019-20,100.0,17/08/2019,60
Charlie Taylor,2019-20,100.0,17/08/2019,87
Cheikhou Kouyaté,2019-20,100.0,18/08/2019,139
Che Adams,2019-20,100.0,17/08/2019,437
Christian Atsu,2019-20,100.0,17/08/2019,267
Christian Benteke,2019-20,100.0,18/08/2019,129
Christian Eriksen,2019-20,100.0,17/08/2019,343
Christian Fuchs,2019-20,100.0,18/08/2019,163
Christian Kabasele,2019-20,100.0,17/08/2019,354
Christian Pulisic,2019-20,100.0,18/08/2019,431
Christoph Zimmermann,2019-20,,17/08/2019,275
Chris Basham,2019-20,100.0,18/08/2019,423
Chris Mepham,2019-20,100.0,17/08/2019,61
Chris Smalling,2019-20,100.0,19/08/2019,223
Chris Wood,2019-20,100.0,17/08/2019,91
Ciaran Clark,2019-20,100.0,17/08/2019,259
Claudio Bravo,2019-20,100.0,17/08/2019,213
Connor Wickham,2019-20,100.0,18/08/2019,130
Conor Coady,2019-20,100.0,19/08/2019,403
Conor Hourihane,2019-20,100.0,17/08/2019,28
Craig Cathcart,2019-20,100.0,17/08/2019,358
Craig Dawson,2019-20,100.0,17/08/2019,439
Cédric Soares,2019-20,100.0,17/08/2019,486
César Azpilicueta,2019-20,100.0,18/08/2019,105
Dale Stephens,2019-20,100.0,17/08/2019,57
Daniel Amartey,2019-20,100.0,18/08/2019,178
Daniel Ceballos Fernández,2019-20,100.0,17/08/2019,469
Daniel Drinkwater,2019-20,100.0,17/08/2019,120
Daniel James,2019-20,100.0,19/08/2019,243
Danilo Luiz da Silva,2019-20,,17/08/2019,209
Danny Ings,2019-20,100.0,17/08/2019,313
Danny Rose,2019-20,100.0,17/08/2019,332
Danny Ward,2019-20,100.0,18/08/2019,170
Danny Welbeck,2019-20,,17/08/2019,512
Dan Burn,2019-20,100.0,17/08/2019,475
Dan Gosling,2019-20,,17/08/2019,81
Daryl Janmaat,2019-20,100.0,17/08/2019,359
Davide Zappacosta,2019-20,100.0,18/08/2019,109
David Brooks,2019-20,,17/08/2019,76
David Button,2019-20,100.0,17/08/2019,48
David de Gea,2019-20,100.0,19/08/2019,235
David Luiz Moreira Marinho,2019-20,100.0,17/08/2019,106
David McGoldrick,2019-20,100.0,18/08/2019,303
David Silva,2019-20,100.0,17/08/2019,219
Davinson Sánchez,2019-20,100.0,17/08/2019,333
Davy Pröpper,2019-20,100.0,17/08/2019,54
DeAndre Yedlin,2019-20,,17/08/2019,253
Dean Henderson,2019-20,100.0,18/08/2019,471
Declan Rice,2019-20,100.0,17/08/2019,395
Dejan Lovren,2019-20,100.0,17/08/2019,186
Demarai Gray,2019-20,100.0,18/08/2019,175
Dennis Praet,2019-20,100.0,18/08/2019,517
Dennis Srbeny,2019-20,100.0,17/08/2019,279
Diego Rico,2019-20,100.0,17/08/2019,65
Diogo Jota,2019-20,100.0,19/08/2019,410
Divock Origi,2019-20,100.0,17/08/2019,188
Djibril Sidibé,2019-20,100.0,17/08/2019,511
Domingos Quina,2019-20,,17/08/2019,375
Dominic Calvert-Lewin,2019-20,100.0,17/08/2019,147
Dominic Solanke,2019-20,100.0,17/08/2019,69
Douglas Luiz Soares de Paulo,2019-20,100.0,17/08/2019,470
Dwight McNeil,2019-20,100.0,17/08/2019,97
Ederson Santana de Moraes,2019-20,100.0,17/08/2019,212
Edward Nketiah,2019-20,,17/08/2019,13
Eldin Jakupovic,2019-20,100.0,18/08/2019,169
Emerson Palmieri dos Santos,2019-20,100.0,18/08/2019,107
Emiliano Buendía,2019-20,100.0,17/08/2019,283
Emiliano Martínez,2019-20,100.0,17/08/2019,427
Emil Krafth,2019-20,100.0,17/08/2019,519
Enda Stevens,2019-20,100.0,18/08/2019,291
Eric Bailly,2019-20,,19/08/2019,228
Eric Dier,2019-20,100.0,17/08/2019,350
Erik Lamela,2019-20,100.0,17/08/2019,346
Erik Pieters,2019-20,100.0,17/08/2019,447
Ethan Ampadu,2019-20,,18/08/2019,121
Etienne Capoue,2019-20,100.0,17/08/2019,373
Ezri Konsa Ngoyo,2019-20,100.0,17/08/2019,452
Fabian Delph,2019-20,,17/08/2019,205
Fabian Schär,2019-20,100.0,17/08/2019,252
Fabio Henrique Tavares,2019-20,100.0,17/08/2019,197
Fabián Balbuena,2019-20,100.0,17/08/2019,382
Federico Fernández,2019-20,100.0,17/08/2019,254
Felipe Anderson Pereira Gomes,2019-20,75.0,17/08/2019,390
Fernando Luiz Rosa,2019-20,100.0,17/08/2019,221
Fikayo Tomori,2019-20,100.0,18/08/2019,529
Florian Lejeune,2019-20,,17/08/2019,257
Florin Andone,2019-20,100.0,17/08/2019,46
Francisco Femenía Far,2019-20,100.0,17/08/2019,357
Fraser Forster,2019-20,100.0,17/08/2019,317
Frederick Woodman,2019-20,,17/08/2019,264
Frederico Rodrigues de Paula Santos,2019-20,100.0,19/08/2019,244
Frédéric Guilbert,2019-20,100.0,17/08/2019,458
Gabriel Fernando de Jesus,2019-20,100.0,17/08/2019,211
Gabriel Teodoro Martinelli Silva,2019-20,100.0,17/08/2019,504
Gary Cahill,2019-20,100.0,18/08/2019,503
Gaëtan Bong,2019-20,100.0,17/08/2019,41
Georges-Kévin Nkoudou,2019-20,100.0,17/08/2019,527
George Baldock,2019-20,100.0,18/08/2019,294
Georginio Wijnaldum,2019-20,100.0,17/08/2019,199
Gerard Deulofeu,2019-20,100.0,17/08/2019,363
Giovani Lo Celso,2019-20,100.0,17/08/2019,523
Glenn Murray,2019-20,100.0,17/08/2019,44
Grady Diangana,2019-20,,17/08/2019,398
Granit Xhaka,2019-20,100.0,17/08/2019,18
Grant Hanley,2019-20,100.0,17/08/2019,277
Gylfi Sigurdsson,2019-20,100.0,17/08/2019,151
Hamza Choudhury,2019-20,100.0,18/08/2019,180
Harry Kane,2019-20,100.0,17/08/2019,338
Harry Maguire,2019-20,100.0,19/08/2019,160
Harry Wilson,2019-20,100.0,17/08/2019,505
Harry Winks,2019-20,100.0,17/08/2019,347
Harvey Barnes,2019-20,100.0,18/08/2019,172
Henrikh Mkhitaryan,2019-20,100.0,17/08/2019,16
Henri Lansbury,2019-20,100.0,17/08/2019,35
Heung-Min Son,2019-20,,17/08/2019,342
Heurelho da Silva Gomes,2019-20,100.0,17/08/2019,513
Hugo Lloris,2019-20,100.0,17/08/2019,340
Héctor Bellerín,2019-20,,17/08/2019,2
Hélder Costa,2019-20,,19/08/2019,418
Ibrahim Amadou,2019-20,,17/08/2019,507
Idrissa Gueye,2019-20,,17/08/2019,156
Ilkay Gündogan,2019-20,100.0,17/08/2019,222
Isaac Hayden,2019-20,100.0,17/08/2019,271
Isaac Success Ajayi,2019-20,100.0,17/08/2019,365
Ismaïla Sarr,2019-20,100.0,17/08/2019,525
Issa Diop,2019-20,100.0,17/08/2019,381
Ivan Cavaleiro,2019-20,,19/08/2019,419
Jack Colback,2019-20,75.0,17/08/2019,482
Jack Cork,2019-20,100.0,17/08/2019,102
Jack Grealish,2019-20,100.0,17/08/2019,29
Jack O'Connell,2019-20,100.0,18/08/2019,293
Jack Simpson,2019-20,100.0,17/08/2019,66
Jack Stacey,2019-20,100.0,17/08/2019,446
Jack Stephens,2019-20,100.0,17/08/2019,308
Jack Wilshere,2019-20,100.0,17/08/2019,394
Jacob Murphy,2019-20,,17/08/2019,483
Jake Eastwood,2019-20,100.0,18/08/2019,299
Jamaal Lascelles,2019-20,100.0,17/08/2019,258
Jamal Lewis,2019-20,100.0,17/08/2019,276
James Chester,2019-20,,17/08/2019,23
James Garner,2019-20,100.0,19/08/2019,250
James Justin,2019-20,100.0,18/08/2019,433
James Maddison,2019-20,100.0,18/08/2019,171
James McArthur,2019-20,100.0,18/08/2019,138
James McCarthy,2019-20,100.0,18/08/2019,157
James Milner,2019-20,100.0,17/08/2019,200
James Tarkowski,2019-20,100.0,17/08/2019,84
James Tomkins,2019-20,,18/08/2019,124
James Ward-Prowse,2019-20,100.0,17/08/2019,321
Jamie Vardy,2019-20,100.0,18/08/2019,166
Jannik Vestergaard,2019-20,100.0,17/08/2019,304
Jan Bednarek,2019-20,100.0,17/08/2019,307
Jan Vertonghen,2019-20,100.0,17/08/2019,330
Javier Hernández Balcázar,2019-20,100.0,17/08/2019,386
Javier Manquillo,2019-20,100.0,17/08/2019,256
Jay Rodriguez,2019-20,100.0,17/08/2019,451
Jean-Philippe Gbamin,2019-20,100.0,17/08/2019,497
Jed Steer,2019-20,100.0,17/08/2019,429
Jefferson Lerma,2019-20,100.0,17/08/2019,82
Jeffrey Schlupp,2019-20,,18/08/2019,137
Jeff Hendrick,2019-20,100.0,17/08/2019,100
Jesse Lingard,2019-20,100.0,19/08/2019,241
Jesús Vallejo Lázaro,2019-20,100.0,19/08/2019,473
Jetro Willems,2019-20,100.0,17/08/2019,498
Joelinton Cássio Apolinário de Lira,2019-20,100.0,17/08/2019,466
Joel Matip,2019-20,100.0,17/08/2019,185
Joel Ward,2019-20,100.0,18/08/2019,126
Joe Hart,2019-20,100.0,17/08/2019,95
Johann Berg Gudmundsson,2019-20,100.0,17/08/2019,96
John Egan,2019-20,100.0,18/08/2019,295
John Fleck,2019-20,100.0,18/08/2019,301
John Lundstram,2019-20,100.0,18/08/2019,297
John McGinn,2019-20,100.0,17/08/2019,31
John Ruddy,2019-20,100.0,19/08/2019,412
John Stones,2019-20,100.0,17/08/2019,207
Jonas Lössl,2019-20,100.0,17/08/2019,479
Jonathan Castro Otto,2019-20,100.0,19/08/2019,402
Jonathan Kodjia,2019-20,100.0,17/08/2019,26
Jonjo Shelvey,2019-20,75.0,17/08/2019,269
Jonny Evans,2019-20,100.0,18/08/2019,162
Jordan Ayew,2019-20,100.0,18/08/2019,468
Jordan Henderson,2019-20,100.0,17/08/2019,198
Jordan Pickford,2019-20,100.0,17/08/2019,148
Jordon Ibe,2019-20,100.0,17/08/2019,78
Jorge Luiz Frello Filho,2019-20,100.0,18/08/2019,118
Jose Luis Mato Sanmartín,2019-20,,17/08/2019,261
Joseph Gomez,2019-20,100.0,17/08/2019,184
Joseph Willock,2019-20,100.0,17/08/2019,490
Joshua King,2019-20,100.0,17/08/2019,68
Josip Drmic,2019-20,100.0,17/08/2019,434
José Diogo Dalot Teixeira,2019-20,100.0,19/08/2019,229
José Heriberto Izquierdo Mena,2019-20,,17/08/2019,51
José Ignacio Peleteiro Romallo,2019-20,100.0,17/08/2019,36
José Ángel Esmorís Tasende,2019-20,100.0,17/08/2019,440
José Holebas,2019-20,100.0,17/08/2019,353
João Filipe Iria Santos Moutinho,2019-20,100.0,19/08/2019,415
João Pedro Cavaco Cancelo,2019-20,100.0,17/08/2019,518
Juan Foyth,2019-20,,17/08/2019,335
Juan Mata,2019-20,100.0,19/08/2019,242
Junior Stanislas,2019-20,,17/08/2019,77
Jürgen Locadia,2019-20,100.0,17/08/2019,45
Karl Darlow,2019-20,100.0,17/08/2019,263
Kasper Schmeichel,2019-20,100.0,18/08/2019,168
Kayne Ramsay,2019-20,100.0,17/08/2019,311
Keinan Davis,2019-20,100.0,17/08/2019,34
Kelechi Iheanacho,2019-20,100.0,18/08/2019,167
Kenny McLean,2019-20,100.0,17/08/2019,286
Ken Sema,2019-20,100.0,17/08/2019,372
Kepa Arrizabalaga,2019-20,100.0,18/08/2019,111
Kevin Danso,2019-20,,17/08/2019,532
Kevin De Bruyne,2019-20,100.0,17/08/2019,215
Kevin Long,2019-20,100.0,17/08/2019,88
Kieran Tierney,2019-20,,17/08/2019,515
Kieran Trippier,2019-20,,17/08/2019,334
Kieron Freeman,2019-20,100.0,18/08/2019,292
Konstantinos Mavropanos,2019-20,,17/08/2019,8
Kortney Hause,2019-20,100.0,17/08/2019,25
Kurt Zouma,2019-20,100.0,18/08/2019,459
Kyle Walker-Peters,2019-20,100.0,17/08/2019,337
Kyle Walker,2019-20,100.0,17/08/2019,203
Laurent Koscielny,2019-20,,17/08/2019,7
Leander Dendoncker,2019-20,100.0,19/08/2019,420
Leandro Trossard,2019-20,100.0,17/08/2019,421
Lee Grant,2019-20,100.0,19/08/2019,237
Leighton Baines,2019-20,75.0,17/08/2019,145
Leon Balogun,2019-20,100.0,17/08/2019,40
Leroy Sané,2019-20,,17/08/2019,216
Lewis Cook,2019-20,,17/08/2019,79
Lewis Dunk,2019-20,100.0,17/08/2019,42
Lewis Gibson,2019-20,100.0,17/08/2019,477
Lloyd Kelly,2019-20,,17/08/2019,64
Lovre Kalinic,2019-20,100.0,17/08/2019,474
Lucas Digne,2019-20,100.0,17/08/2019,141
Lucas Rodrigues Moura da Silva,2019-20,100.0,17/08/2019,345
Lucas Torreira,2019-20,100.0,17/08/2019,19
Lukasz Fabianski,2019-20,100.0,17/08/2019,388
Luka Milivojevic,2019-20,100.0,18/08/2019,134
Luke Amos,2019-20,,17/08/2019,351
Luke Dreher,2019-20,100.0,18/08/2019,140
Luke Freeman,2019-20,100.0,18/08/2019,441
Luke Shaw,2019-20,100.0,19/08/2019,226
Lys Mousset,2019-20,100.0,18/08/2019,70
Maarten Stekelenburg,2019-20,100.0,17/08/2019,149
Mahmoud Ahmed Ibrahim Hassan,2019-20,100.0,17/08/2019,465
Mamadou Sakho,2019-20,,18/08/2019,125
Manuel Lanzini,2019-20,100.0,17/08/2019,391
Marcos Alonso,2019-20,100.0,18/08/2019,103
Marcos Rojo,2019-20,100.0,19/08/2019,227
Marco Stiepermann,2019-20,100.0,17/08/2019,285
Marcus Rashford,2019-20,100.0,19/08/2019,233
Marc Albrighton,2019-20,100.0,18/08/2019,174
Marc Navarro,2019-20,,17/08/2019,360
Mario Lemina,2019-20,100.0,17/08/2019,324
Mario Vrancic,2019-20,100.0,17/08/2019,282
Marko Arnautovic,2019-20,,17/08/2019,385
Mark Duffy,2019-20,,18/08/2019,300
Mark Noble,2019-20,,17/08/2019,396
Mark Travers,2019-20,100.0,17/08/2019,74
Martin Dubravka,2019-20,100.0,17/08/2019,262
Martin Kelly,2019-20,100.0,18/08/2019,128
Martín Montoya,2019-20,100.0,17/08/2019,38
Marvelous Nakamba,2019-20,100.0,17/08/2019,491
Mason Greenwood,2019-20,100.0,19/08/2019,234
Mason Holgate,2019-20,100.0,17/08/2019,478
Mason Mount,2019-20,100.0,18/08/2019,463
Matej Vydra,2019-20,100.0,17/08/2019,92
Mateo Kovacic,2019-20,100.0,18/08/2019,432
Mathew Ryan,2019-20,100.0,17/08/2019,47
Matteo Darmian,2019-20,100.0,19/08/2019,230
Matteo Guendouzi,2019-20,100.0,17/08/2019,21
Matthew Clarke,2019-20,,17/08/2019,43
Matthew Lowton,2019-20,100.0,17/08/2019,85
Matty James,2019-20,100.0,18/08/2019,177
Matt Doherty,2019-20,100.0,19/08/2019,401
Matt Ritchie,2019-20,100.0,17/08/2019,251
Matt Targett,2019-20,100.0,17/08/2019,309
Maximillian Aarons,2019-20,100.0,17/08/2019,274
Max Kilman,2019-20,100.0,19/08/2019,408
Max Meyer,2019-20,100.0,18/08/2019,136
Maya Yoshida,2019-20,100.0,17/08/2019,310
Mesut Özil,2019-20,25.0,17/08/2019,15
Michael Keane,2019-20,100.0,17/08/2019,143
Michael McGovern,2019-20,100.0,17/08/2019,281
Michael Obafemi,2019-20,100.0,17/08/2019,314
Michael Verrips,2019-20,100.0,18/08/2019,521
Michail Antonio,2019-20,100.0,17/08/2019,389
Michy Batshuayi,2019-20,100.0,18/08/2019,461
Miguel Almirón,2019-20,100.0,17/08/2019,266
Mohamed Elneny,2019-20,75.0,17/08/2019,20
Mohamed Elyounoussi,2019-20,100.0,17/08/2019,322
Mohamed Salah,2019-20,100.0,17/08/2019,191
Moise Kean,2019-20,100.0,17/08/2019,496
Morgan Gibbs-White,2019-20,100.0,19/08/2019,416
Morgan Schneiderlin,2019-20,,17/08/2019,158
Moritz Leitner,2019-20,100.0,17/08/2019,288
Moussa Djenepo,2019-20,100.0,17/08/2019,438
Moussa Sissoko,2019-20,100.0,17/08/2019,349
Muhamed Bešić,2019-20,100.0,18/08/2019,522
N'Golo Kanté,2019-20,100.0,18/08/2019,119
Naby Keita,2019-20,100.0,17/08/2019,196
Nacho Monreal,2019-20,100.0,17/08/2019,6
Nampalys Mendy,2019-20,75.0,18/08/2019,179
Nathaniel Chalobah,2019-20,,17/08/2019,374
Nathan Aké,2019-20,100.0,17/08/2019,59
Nathan Redmond,2019-20,100.0,17/08/2019,320
Neal Maupay,2019-20,100.0,17/08/2019,502
Neil Taylor,2019-20,100.0,17/08/2019,24
Nemanja Matic,2019-20,100.0,19/08/2019,247
Nick Pope,2019-20,100.0,17/08/2019,93
Nicolas Pépé,2019-20,100.0,17/08/2019,488
Nicolás Otamendi,2019-20,100.0,17/08/2019,208
Oleksandr Zinchenko,2019-20,100.0,17/08/2019,206
Oliver McBurnie,2019-20,100.0,18/08/2019,501
Oliver Norwood,2019-20,100.0,18/08/2019,302
Oliver Skipp,2019-20,100.0,17/08/2019,352
Olivier Giroud,2019-20,100.0,18/08/2019,110
Onel Hernández,2019-20,100.0,17/08/2019,284
Oriol Romeu Vidal,2019-20,100.0,17/08/2019,328
Pablo Fornals,2019-20,100.0,17/08/2019,399
Pablo Zabaleta,2019-20,100.0,17/08/2019,379
Pascal Groß,2019-20,100.0,17/08/2019,49
Patrick Cutrone,2019-20,100.0,19/08/2019,487
Patrick Roberts,2019-20,100.0,17/08/2019,435
Patrick van Aanholt,2019-20,100.0,18/08/2019,123
Paulo Gazzaniga,2019-20,100.0,17/08/2019,341
Paul Dummett,2019-20,100.0,17/08/2019,255
Paul Pogba,2019-20,100.0,19/08/2019,238
Pedro Lomba Neto,2019-20,100.0,19/08/2019,528
Pedro Obiang,2019-20,,17/08/2019,400
Pedro Rodríguez Ledesma,2019-20,100.0,18/08/2019,114
Philip Billing,2019-20,100.0,17/08/2019,476
Philip Heise,2019-20,100.0,17/08/2019,484
Phil Bardsley,2019-20,100.0,17/08/2019,86
Phil Foden,2019-20,100.0,17/08/2019,220
Phil Jagielka,2019-20,100.0,18/08/2019,444
Phil Jones,2019-20,100.0,19/08/2019,231
Pierre-Emerick Aubameyang,2019-20,100.0,17/08/2019,11
Pierre-Emile Højbjerg,2019-20,100.0,17/08/2019,325
Pontus Dahlberg,2019-20,100.0,17/08/2019,367
Rachid Ghezzal,2019-20,100.0,18/08/2019,173
Rafael Camacho,2019-20,,17/08/2019,201
Raheem Sterling,2019-20,100.0,17/08/2019,214
Ralf Fahrmann,2019-20,100.0,17/08/2019,449
Ravel Morrison,2019-20,100.0,18/08/2019,456
Raúl Jiménez,2019-20,100.0,19/08/2019,409
Reece James,2019-20,100.0,18/08/2019,506
Reiss Nelson,2019-20,100.0,17/08/2019,489
Rhian Brewster,2019-20,100.0,17/08/2019,464
Ricardo Domingos Barbosa Pereira,2019-20,100.0,18/08/2019,159
Richard Stearman,2019-20,100.0,18/08/2019,296
Richarlison de Andrade,2019-20,100.0,17/08/2019,150
Riyad Mahrez,2019-20,100.0,17/08/2019,217
Robbie Brady,2019-20,25.0,17/08/2019,98
Robert Kenedy Nunes do Nascimento,2019-20,100.0,18/08/2019,462
Roberto Firmino,2019-20,100.0,17/08/2019,187
Roberto Jimenez Gago,2019-20,100.0,17/08/2019,450
Roberto Pereyra,2019-20,100.0,17/08/2019,369
Robert Snodgrass,2019-20,100.0,17/08/2019,393
Rob Holding,2019-20,,17/08/2019,10
Rodrigo Hernandez,2019-20,100.0,17/08/2019,443
Rolando Aarons,2019-20,100.0,17/08/2019,499
Romain Saïss,2019-20,100.0,19/08/2019,407
Romelu Lukaku,2019-20,,19/08/2019,232
Ross Barkley,2019-20,100.0,18/08/2019,117
Ruben Loftus-Cheek,2019-20,,18/08/2019,115
Rui Pedro dos Santos Patrício,2019-20,100.0,19/08/2019,411
Ryan Bennett,2019-20,100.0,19/08/2019,404
Ryan Bertrand,2019-20,100.0,17/08/2019,305
Ryan Fraser,2019-20,100.0,17/08/2019,75
Ryan Fredericks,2019-20,100.0,17/08/2019,380
Ryan Sessegnon,2019-20,,17/08/2019,524
Rúben Diogo da Silva Neves,2019-20,100.0,19/08/2019,414
Rúben Gonçalo Silva Nascimento Vinagre,2019-20,100.0,19/08/2019,406
Sadio Mané,2019-20,100.0,17/08/2019,192
Sam Byram,2019-20,100.0,17/08/2019,454
Sam Gallagher,2019-20,,17/08/2019,316
Sam Surridge,2019-20,,17/08/2019,71
Scott Dann,2019-20,100.0,18/08/2019,127
Scott McTominay,2019-20,100.0,19/08/2019,248
Sead Kolasinac,2019-20,25.0,17/08/2019,3
Seamus Coleman,2019-20,100.0,17/08/2019,144
Sean Longstaff,2019-20,100.0,17/08/2019,270
Sebastian Prödl,2019-20,100.0,17/08/2019,361
Serge Aurier,2019-20,100.0,17/08/2019,336
Sergio Agüero,2019-20,100.0,17/08/2019,210
Sergio Romero,2019-20,100.0,19/08/2019,236
Shane Duffy,2019-20,100.0,17/08/2019,37
Shane Long,2019-20,100.0,17/08/2019,315
Shkodran Mustafi,2019-20,100.0,17/08/2019,1
Simon Francis,2019-20,,17/08/2019,62
Simon Mignolet,2019-20,,17/08/2019,190
Simon Moore,2019-20,100.0,18/08/2019,436
Sofiane Boufal,2019-20,100.0,17/08/2019,508
Sokratis Papastathopoulos,2019-20,100.0,17/08/2019,5
Solomon March,2019-20,100.0,17/08/2019,55
Steven Defour,2019-20,,17/08/2019,99
Steve Cook,2019-20,100.0,17/08/2019,58
Stuart Armstrong,2019-20,100.0,17/08/2019,323
Sung-yueng Ki,2019-20,100.0,17/08/2019,268
Sébastien Haller,2019-20,100.0,17/08/2019,457
Tahith Chong,2019-20,100.0,19/08/2019,249
Tammy Abraham,2019-20,100.0,18/08/2019,460
Tanguy Ndombele,2019-20,100.0,17/08/2019,442
Teemu Pukki,2019-20,100.0,17/08/2019,278
Theo Walcott,2019-20,100.0,17/08/2019,153
Timm Klose,2019-20,,17/08/2019,272
Tim Krul,2019-20,100.0,17/08/2019,280
Toby Alderweireld,2019-20,100.0,17/08/2019,331
Todd Cantwell,2019-20,100.0,17/08/2019,287
Tom Cleverley,2019-20,100.0,17/08/2019,371
Tom Davies,2019-20,100.0,17/08/2019,154
Tom Heaton,2019-20,100.0,17/08/2019,94
Tom Trybull,2019-20,100.0,17/08/2019,290
Trent Alexander-Arnold,2019-20,100.0,17/08/2019,182
Troy Deeney,2019-20,100.0,17/08/2019,362
Troy Parrott,2019-20,100.0,17/08/2019,509
